ID;asset_ID;employee_ID;assignedFrom;returnedOn
5e5e5e5e-0000-0000-0000-000000000001;2b2b2b2b-0000-0000-0000-000000000001;1a1a1a1a-0000-0000-0000-000000000001;2024-03-01;
5e5e5e5e-0000-0000-0000-000000000002;2b2b2b2b-0000-0000-0000-000000000002;1a1a1a1a-0000-0000-0000-000000000007;2021-01-01;2022-06-14
5e5e5e5e-0000-0000-0000-000000000003;2b2b2b2b-0000-0000-0000-000000000002;1a1a1a1a-0000-0000-0000-000000000002;2022-06-15;
5e5e5e5e-0000-0000-0000-000000000004;2b2b2b2b-0000-0000-0000-000000000004;1a1a1a1a-0000-0000-0000-000000000003;2023-09-20;
5e5e5e5e-0000-0000-0000-000000000005;2b2b2b2b-0000-0000-0000-000000000006;1a1a1a1a-0000-0000-0000-000000000008;2019-05-10;2022-01-01
5e5e5e5e-0000-0000-0000-000000000006;2b2b2b2b-0000-0000-0000-000000000007;1a1a1a1a-0000-0000-0000-000000000004;2023-02-14;2025-11-01
5e5e5e5e-0000-0000-0000-000000000007;2b2b2b2b-0000-0000-0000-000000000008;1a1a1a1a-0000-0000-0000-000000000005;2023-07-01;
5e5e5e5e-0000-0000-0000-000000000008;2b2b2b2b-0000-0000-0000-000000000010;1a1a1a1a-0000-0000-0000-000000000006;2022-09-15;
5e5e5e5e-0000-0000-0000-000000000009;2b2b2b2b-0000-0000-0000-000000000011;1a1a1a1a-0000-0000-0000-000000000001;2023-03-01;
5e5e5e5e-0000-0000-0000-000000000010;2b2b2b2b-0000-0000-0000-000000000013;1a1a1a1a-0000-0000-0000-000000000007;2023-03-01;
5e5e5e5e-0000-0000-0000-000000000011;2b2b2b2b-0000-0000-0000-000000000014;1a1a1a1a-0000-0000-0000-000000000008;2022-04-01;2024-06-01
5e5e5e5e-0000-0000-0000-000000000012;2b2b2b2b-0000-0000-0000-000000000018;1a1a1a1a-0000-0000-0000-000000000009;2023-05-01;
5e5e5e5e-0000-0000-0000-000000000013;2b2b2b2b-0000-0000-0000-000000000019;1a1a1a1a-0000-0000-0000-000000000004;2023-11-01;
5e5e5e5e-0000-0000-0000-000000000014;2b2b2b2b-0000-0000-0000-000000000024;1a1a1a1a-0000-0000-0000-000000000006;2023-02-01;
5e5e5e5e-0000-0000-0000-000000000015;2b2b2b2b-0000-0000-0000-000000000025;1a1a1a1a-0000-0000-0000-000000000008;2023-04-01;
5e5e5e5e-0000-0000-0000-000000000016;2b2b2b2b-0000-0000-0000-000000000026;1a1a1a1a-0000-0000-0000-000000000009;2023-05-01;
